MonthID,TotalRevenue,ClaimsProcessed,PatientsServed
2022-01,449062.02,240,239
2022-02,2105587.18,1097,1045
2022-03,2859063.93,1471,1361
2022-04,2816792.1,1485,1371
2022-05,3140668.69,1556,1444
2022-06,2689288.66,1330,1247
2022-07,2636228.4,1386,1286
2022-08,2988634.02,1502,1388
2022-09,2767976.34,1417,1335
2022-10,2594607.63,1409,1320
2022-11,2817967.14,1421,1341
2022-12,2770828.36,1411,1305
2023-01,3017967.17,1512,1410
2023-02,2516138.42,1302,1220
2023-03,2814892.92,1431,1341
2023-04,2814857.64,1429,1331
2023-05,2727890.86,1475,1364
2023-06,2739593.5,1467,1356
2023-07,2696761.22,1449,1355
2023-08,2832064.54,1452,1351
2023-09,2586969.75,1331,1251
2023-10,2846289.98,1500,1391
2023-11,2743678.24,1399,1314
2023-12,2855180.72,1469,1363
2024-01,2732008.59,1430,1313
2024-02,2594334.02,1350,1271
2024-03,2791162.55,1464,1362
2024-04,2834437.13,1446,1353
2024-05,2685822.69,1419,1325
2024-06,2754549.61,1402,1312
2024-07,2831768.45,1417,1314
2024-08,3045140.56,1505,1380
2024-09,2882713.49,1389,1287
2024-10,2807328.0,1458,1357
2024-11,2742692.73,1394,1313
2024-12,2637027.05,1385,1304
