iter	Passed	Remaining
0	20	10075
1	54	13587
2	100	16577
3	129	16090
4	151	14992
5	205	16887
6	248	17532
7	276	17010
8	323	17669
9	363	17821
10	383	17064
11	429	17452
12	479	17962
13	524	18201
14	574	18585
15	604	18298
16	625	17784
17	789	21145
18	837	21203
19	865	20781
20	918	20947
21	966	21004
22	1012	21006
23	1059	21012
24	1107	21039
25	1136	20711
26	1169	20488
27	1216	20514
28	1255	20389
29	1273	19958
30	1309	19811
31	1355	19827
32	1403	19854
33	1450	19881
34	1498	19910
35	1541	19867
36	1561	19536
37	1600	19455
38	1649	19493
39	1671	19227
40	1705	19098
41	1752	19113
42	1787	18993
43	1805	18714
44	1855	18761
45	1893	18687
46	1913	18438
47	1965	18511
48	2010	18503
49	2056	18506
50	2109	18573
51	2141	18446
52	2164	18257
53	2214	18286
54	2252	18223
55	2270	18005
56	2316	18003
57	2365	18029
58	2386	17836
59	2416	17720
60	2465	17745
61	2491	17601
62	2510	17410
63	2557	17423
64	2603	17425
65	2651	17437
66	2703	17473
67	2747	17455
68	2775	17339
69	2804	17228
70	2855	17251
71	2899	17235
72	2917	17065
73	2956	17021
74	3007	17041
75	3027	16892
76	3046	16735
77	3099	16767
78	3137	16718
79	3156	16570
80	3204	16574
81	3252	16578
82	3271	16435
83	3319	16437
84	3367	16442
85	3391	16328
86	3437	16317
87	3484	16315
88	3531	16307
89	3577	16295
90	3614	16243
91	3638	16134
92	3688	16142
93	3723	16081
94	3742	15953
95	3786	15935
96	3837	15942
97	3859	15833
98	3893	15772
99	3941	15765
100	3974	15703
101	3992	15579
102	4046	15597
103	4087	15564
104	4107	15450
105	4150	15427
106	4195	15408
107	4216	15304
108	4255	15264
109	4316	15304
110	4346	15233
111	4364	15118
112	4389	15033
113	4436	15021
114	4483	15009
115	4529	14992
116	4585	15011
117	4606	14913
118	4648	14883
119	4692	14860
120	4711	14758
121	4747	14710
122	4795	14697
123	4827	14638
124	4848	14544
125	4903	14555
126	4945	14524
127	4965	14430
128	5015	14424
129	5054	14386
130	5073	14290
131	5115	14260
132	5168	14260
133	5192	14181
134	5239	14166
135	5285	14146
136	5304	14054
137	5332	13987
138	5385	13987
139	5420	13938
140	5440	13851
141	5482	13822
142	5528	13803
143	5574	13782
144	5624	13770
145	5677	13765
146	5697	13681
147	5744	13662
148	5789	13639
149	5811	13560
150	5839	13497
151	5887	13478
152	5915	13416
153	5938	13341
154	5990	13332
155	6026	13288
156	6049	13215
157	6101	13206
158	6143	13176
159	6162	13094
160	6204	13063
161	6250	13040
162	6273	12970
163	6306	12920
164	6355	12903
165	6390	12858
166	6409	12779
167	6459	12764
168	6502	12736
169	6522	12661
170	6550	12603
171	6600	12586
172	6636	12543
173	6688	12530
174	6737	12512
175	6785	12491
176	6830	12465
177	6851	12394
178	6872	12325
179	6893	12255
180	6921	12199
181	6969	12177
182	6990	12109
183	7006	12033
184	7024	11960
185	7041	11887
186	7058	11813
187	7074	11741
188	7091	11669
189	7109	11599
190	7126	11528
191	7142	11457
192	7161	11391
193	7179	11324
194	7196	11256
195	7213	11188
196	7229	11120
197	7245	11051
198	7261	10982
199	7278	10917
200	7293	10849
201	7309	10782
202	7325	10717
203	7341	10652
204	7360	10592
205	7380	10533
206	7401	10475
207	7422	10419
208	7446	10367
209	7474	10321
210	7499	10272
211	7528	10227
212	7570	10200
213	7616	10178
214	7663	10158
215	7688	10108
216	7704	10047
217	7720	9986
218	7737	9928
219	7755	9870
220	7776	9817
221	7799	9767
222	7821	9715
223	7842	9662
224	7865	9613
225	7890	9565
226	7911	9514
227	7931	9462
228	7948	9405
229	7964	9349
230	7980	9293
231	7996	9237
232	8012	9182
233	8030	9128
234	8051	9078
235	8071	9029
236	8092	8980
237	8192	9018
238	8233	8990
239	8283	8973
240	8306	8927
241	8344	8896
242	8395	8879
243	8428	8842
244	8453	8798
245	8502	8779
246	8539	8747
247	8571	8710
248	8615	8685
249	8670	8670
250	8720	8651
251	8766	8627
252	8807	8598
253	8832	8554
254	8882	8534
255	8918	8500
256	8936	8449
257	8989	8432
258	9036	8408
259	9057	8360
260	9103	8336
261	9154	8316
262	9176	8269
263	9210	8233
264	9257	8209
265	9305	8185
266	9346	8156
267	9363	8105
268	9381	8056
269	9398	8006
270	9420	7960
271	9440	7913
272	9461	7867
273	9483	7822
274	9501	7774
275	9517	7724
276	9533	7674
277	9548	7625
278	9565	7576
279	9581	7528
280	9597	7479
281	9613	7431
282	9629	7384
283	9647	7337
284	9667	7293
285	9686	7248
286	9708	7204
287	9727	7160
288	9753	7120
289	9780	7082
290	9808	7044
291	9841	7010
292	9887	6985
293	9935	6961
294	9981	6936
295	10027	6910
296	10051	6870
297	10084	6835
298	10135	6813
299	10166	6777
300	10191	6737
301	10240	6714
302	10281	6684
303	10300	6640
304	10352	6618
305	10393	6589
306	10420	6551
307	10471	6527
308	10507	6495
309	10531	6454
310	10580	6429
311	10628	6404
312	10656	6366
313	10703	6340
314	10746	6311
315	10796	6286
316	10841	6258
317	10860	6215
318	10877	6171
319	10892	6126
320	10908	6083
321	10925	6039
322	10942	5996
323	10959	5953
324	10975	5909
325	10991	5866
326	11008	5824
327	11023	5780
328	11039	5737
329	11056	5695
330	11072	5653
331	11089	5611
332	11105	5569
333	11122	5527
334	11141	5487
335	11160	5447
336	11181	5408
337	11200	5368
338	11226	5331
339	11254	5296
340	11282	5260
341	11319	5229
342	11369	5204
343	11398	5168
344	11424	5132
345	11450	5096
346	11466	5055
347	11483	5015
348	11498	4975
349	11514	4934
350	11533	4895
351	11555	4858
352	11579	4821
353	11603	4785
354	11624	4748
355	11646	4710
356	11668	4673
357	11690	4637
358	11706	4597
359	11721	4558
360	11738	4519
361	11754	4480
362	11770	4442
363	11786	4403
364	11803	4365
365	11819	4327
366	11838	4290
367	11858	4253
368	11879	4217
