iter	Logloss
0	0.6901008579
1	0.6871727271
2	0.682734746
3	0.6771271152
4	0.6743775947
5	0.6716928389
6	0.6690431095
7	0.6664740527
8	0.663652725
9	0.6604519682
10	0.6580042032
11	0.6538403309
12	0.6512825434
13	0.6488593931
14	0.6466344499
15	0.6442469995
16	0.6421482916
17	0.6398242751
18	0.6369971038
19	0.6350526116
20	0.6328968561
21	0.6310593157
22	0.6289568231
23	0.6272343958
24	0.6250839734
25	0.6227933472
26	0.620037037
27	0.6184057516
28	0.6163252449
29	0.6143152199
30	0.6127264477
31	0.6112123266
32	0.6092290923
33	0.6077783962
34	0.6061930737
35	0.6017454655
36	0.5997486561
37	0.598465712
38	0.5971983207
39	0.5952943287
40	0.5931692354
41	0.5911124435
42	0.5893761991
43	0.5882460971
44	0.5867583425
45	0.5845771631
46	0.5836442194
47	0.582712827
48	0.5811805203
49	0.577895241
50	0.576925315
51	0.5747029815
52	0.5733784076
53	0.5720993423
54	0.5713454994
55	0.5706225966
56	0.5695940685
57	0.5688864185
58	0.5677046348
59	0.5670553291
60	0.5662944304
61	0.5656152458
62	0.5648799423
63	0.564177699
64	0.5633410343
65	0.5626656148
66	0.561926822
67	0.5612670577
68	0.5603471473
69	0.5597597935
70	0.5588592433
71	0.5581172196
72	0.5575876185
73	0.5569613368
74	0.555264761
75	0.5545471694
76	0.5539101896
77	0.5533992386
78	0.5511891508
79	0.5506501521
80	0.5501656112
81	0.5497119795
82	0.5489499865
83	0.5479592818
84	0.5472806888
85	0.54673588
86	0.5462104381
87	0.5457868306
88	0.5450174369
89	0.5446167108
90	0.5441197719
91	0.5428607204
92	0.5423832495
93	0.5419719432
94	0.5415728589
95	0.5411108327
96	0.5406294069
97	0.5389207594
98	0.5383407763
99	0.5372526585
100	0.5368964328
101	0.5363090659
102	0.5359662219
103	0.5355675189
104	0.5352266808
105	0.534812433
106	0.5344894591
107	0.5341040085
108	0.5337065188
109	0.533379933
110	0.532757322
111	0.5323817815
112	0.5320670778
113	0.5316936849
114	0.5313912458
115	0.5310700209
116	0.5306416673
117	0.5302549701
118	0.529971163
119	0.5295849669
120	0.5290959732
121	0.5283811984
122	0.5281223669
123	0.5278161987
124	0.5274510369
125	0.527199454
126	0.5269462743
127	0.5264964851
128	0.526205006
129	0.5259264995
130	0.5256961969
131	0.5250004897
132	0.524780075
133	0.5244699484
134	0.5241041157
135	0.5239026738
136	0.5235661574
137	0.5233180344
138	0.5230218578
139	0.5226969348
140	0.5223818557
141	0.5220375996
142	0.5218273756
143	0.5214916812
144	0.5212777812
145	0.5210803717
146	0.5208481098
147	0.520596272
148	0.5203224728
149	0.5200993142
150	0.5197777093
151	0.5195511087
152	0.5193090655
153	0.5184817306
154	0.5182567129
155	0.5180428921
156	0.5178574921
157	0.5175476898
158	0.5173422806
159	0.5171738026
160	0.5168321168
161	0.516340896
162	0.5156092288
163	0.5150789942
164	0.5148800475
165	0.5140718045
166	0.5138276645
167	0.5128915342
168	0.5126192022
169	0.5124531707
170	0.5122615329
171	0.5119862345
172	0.5117175562
173	0.5115255049
174	0.5099302451
175	0.5097396869
176	0.5092684955
177	0.5088240162
178	0.5086799182
179	0.5084978788
180	0.5081886396
181	0.5080207613
182	0.5065932307
183	0.5064366564
184	0.5057261217
185	0.5049922613
186	0.5045503278
187	0.504398184
188	0.5042580102
189	0.5035919467
190	0.5034300216
191	0.5032909835
192	0.5031408659
193	0.5024715828
194	0.5022953311
195	0.5021524221
196	0.5018308459
197	0.5012159092
198	0.5006900571
199	0.5000034789
