iter	Passed	Remaining
0	157	31271
1	173	17211
2	193	12734
3	217	10636
4	231	9042
5	244	7907
6	256	7074
7	267	6408
8	277	5895
9	288	5479
10	297	5117
11	309	4845
12	320	4603
13	328	4363
14	339	4182
15	348	4006
16	357	3844
17	364	3688
18	373	3555
19	380	3428
20	388	3314
21	396	3207
22	405	3119
23	414	3037
24	421	2951
25	429	2874
26	438	2807
27	445	2738
28	453	2675
29	461	2613
30	469	2557
31	477	2506
32	485	2455
33	492	2405
34	500	2360
35	509	2319
36	518	2286
37	528	2251
38	538	2221
39	547	2190
40	558	2164
41	567	2136
42	577	2108
43	586	2080
44	596	2054
45	606	2030
46	616	2007
47	625	1980
48	635	1958
49	647	1942
50	656	1918
51	666	1896
52	675	1872
53	685	1852
54	692	1825
55	699	1798
56	707	1773
57	714	1749
58	722	1726
59	729	1702
60	737	1681
61	745	1659
62	753	1638
63	761	1617
64	768	1596
65	777	1578
66	785	1559
67	793	1540
68	801	1521
69	809	1504
70	818	1486
71	826	1469
72	835	1452
73	843	1436
74	852	1421
75	860	1403
76	868	1386
77	876	1370
78	885	1356
79	895	1342
80	902	1326
81	911	1311
82	919	1295
83	928	1281
84	937	1268
85	945	1253
86	953	1238
87	961	1223
88	969	1209
89	977	1194
90	986	1181
91	995	1168
92	1002	1153
93	1009	1138
94	1017	1124
95	1027	1113
96	1039	1103
97	1049	1092
98	1059	1080
99	1073	1073
100	1081	1060
101	1092	1049
102	1101	1036
103	1111	1026
104	1119	1013
105	1129	1001
106	1139	990
107	1148	978
108	1158	967
109	1166	954
110	1178	945
111	1188	933
112	1195	920
113	1203	907
114	1209	894
115	1217	881
116	1226	869
117	1234	857
118	1241	845
119	1248	832
120	1257	820
121	1265	808
122	1272	796
123	1280	784
124	1287	772
125	1294	760
126	1302	748
127	1309	736
128	1317	725
129	1325	713
130	1334	702
131	1342	691
132	1351	680
133	1359	669
134	1367	658
135	1375	647
136	1383	636
137	1390	624
138	1399	614
139	1407	603
140	1415	592
141	1424	581
142	1432	571
143	1440	560
144	1447	549
145	1455	538
146	1464	527
147	1470	516
148	1477	505
149	1484	494
150	1492	484
151	1502	474
152	1510	464
153	1520	454
154	1528	443
155	1536	433
156	1545	423
157	1554	413
158	1562	402
159	1569	392
160	1578	382
161	1587	372
162	1595	362
163	1603	352
164	1611	341
165	1620	331
166	1628	321
167	1635	311
168	1644	301
169	1652	291
170	1660	281
171	1668	271
172	1676	261
173	1684	251
174	1694	242
175	1701	232
176	1710	222
177	1719	212
178	1727	202
179	1734	192
180	1743	183
181	1751	173
182	1761	163
183	1769	153
184	1779	144
185	1789	134
186	1797	124
187	1805	115
188	1813	105
189	1823	95
190	1830	86
191	1840	76
192	1850	67
193	1863	57
194	1874	48
195	1881	38
196	1892	28
197	1903	19
198	1913	9
199	1924	0
